标准小区名称,方位角,覆盖场景,横坐标（KM）,纵坐标（KM）
5345,320,高层居民区,29.0203,30.1594
6345,70,高层居民区,29.0203,30.1594
9459,0,城区道路,21.5621,27.4807
10459,140,城区道路,21.5621,27.4807
5068,0,高校,25.5948,26.0074
6068,90,高校,25.5948,26.0074
7068,230,高校,25.5948,26.0074
1213,20,高校,26.8506,26.9481
2213,120,高校,26.8506,26.9481
3213,260,高校,26.8506,26.9481
5325,50,城区道路,37.5365,24.7242
7325,240,城区道路,37.5365,24.7242
9267,340,公墓,25.1686,28.0222
9323,350,高校,37.204,23.8902
10323,120,高校,37.204,23.8902
11323,240,高校,37.204,23.8902
3348,300,企事业单位,32.1779,28.7906
7341,260,高校,35.9681,24.7342
2107,140,高速公路,30.798,26.6779
3107,230,高速公路,30.798,26.6779
9720,130,体育场馆,30.9022,21.8131
779,0,城区道路,48.0301,26.0474
5593,310,高校,34.2529,28.0856
6593,60,高校,34.2529,28.0856
7593,210,高校,34.2529,28.0856
1594,10,高校,37.0175,27.3706
2594,140,高校,37.0175,27.3706
3594,240,高校,37.0175,27.3706
1720,210,城区道路,31.3322,21.7153
4992,0,商业中心,36.184,23.7968
5992,80,商业中心,36.184,23.7968
6992,220,商业中心,36.184,23.7968
9537,0,党政军机关,37.4181,26.2465
10537,120,党政军机关,37.4181,26.2465
11537,290,党政军机关,37.4181,26.2465
1604,300,高校,32.2821,26.5711
3604,210,高校,32.2821,26.5711
953,30,风景区,47.7412,16.5736
1953,150,风景区,47.7412,16.5736
2953,270,风景区,47.7412,16.5736
1599,0,城区道路,32.3256,28.278
2599,100,城区道路,32.3256,28.278
3599,250,城区道路,32.3256,28.278
1394,40,城区道路,30.7677,17.67
889,310,高校,34.4367,26.0652
1889,60,高校,34.4367,26.0652
9595,20,高校,36.5846,27.4184
10595,120,高校,36.5846,27.4184
11595,240,高校,36.5846,27.4184
5290,330,低层居民区,30.7374,29.2598
6290,60,低层居民区,30.7374,29.2598
7290,230,低层居民区,30.7374,29.2598
5022,0,城区道路,34.3552,27.0704
6022,90,城区道路,34.3552,27.0704
7022,240,城区道路,34.3552,27.0704
10107,110,商业中心,30.7535,26.0141
11107,240,商业中心,30.7535,26.0141
9281,0,城区道路,35.201,27.4518
10435,210,星级酒店,36.5676,25.5604
5720,60,高速公路,31.1124,21.3995
6720,270,高速公路,31.1124,21.3995
10600,90,低层居民区,32.7139,28.467
1596,0,高校,36.5676,27.0382
2596,90,高校,36.5676,27.0382
3596,210,高校,36.5676,27.0382
5596,30,高校,36.722,26.7991
7596,200,高校,36.722,26.7991
1605,0,高校,31.4467,25.9429
3605,250,高校,31.4467,25.9429
9596,0,高校,36.9976,26.9281
10596,120,高校,36.9976,26.9281
11596,240,高校,36.9976,26.9281
3451,210,城区道路,40.0273,21.3583
5535,30,高校,37.4882,27.7787
7535,240,高校,37.4882,27.7787
7366,180,党政军机关,27.8602,27.9755
9605,330,党政军机关,32.1959,26.2576
10605,30,党政军机关,32.1959,26.2576
11605,260,党政军机关,32.1959,26.2576
1437,0,低层居民区,36.3479,25.368
2437,90,低层居民区,36.3479,25.368
3437,210,低层居民区,36.3479,25.368
5599,340,城区道路,32.0036,28.2457
7599,270,城区道路,32.0036,28.2457
6316,150,城区道路,32.2281,30.8488
1609,340,低层居民区,31.2488,24.6219
3609,230,低层居民区,31.2488,24.6219
12959,40,低层居民区,27.5846,28.4815
13959,100,低层居民区,27.5846,28.4815
9396,20,企事业单位,33.9991,25.6327
10396,100,企事业单位,33.9991,25.6327
11396,180,企事业单位,33.9991,25.6327
1396,30,城区道路,34.3117,25.7105
2396,120,城区道路,34.3117,25.7105
3396,240,城区道路,34.3117,25.7105
8953,0,风景区,49.534,18.5595
9953,100,风景区,49.534,18.5595
10953,240,风景区,49.534,18.5595
9503,0,商业中心,30.7535,28.8495
10503,120,商业中心,30.7535,28.8495
10968,210,低层居民区,30.2828,28.765
968,70,城区道路,29.9286,28.2602
1411,0,高校,30.2856,16.5914
2411,110,高校,30.2856,16.5914
3411,250,高校,30.2856,16.5914
5054,30,高校,34.7568,15.4917
6054,210,高校,34.7568,15.4917
7054,300,高校,34.7568,15.4917
5161,350,高校,32.8835,17.0028
6161,90,高校,32.8835,17.0028
7161,220,高校,32.8835,17.0028
14967,250,低层居民区,30.1559,28.4003
9604,300,企事业单位,32.0519,25.6916
10604,60,企事业单位,32.0519,25.6916
9502,320,中小学,30.2108,29.5234
11502,240,中小学,30.2108,29.5234
9105,330,其他,30.6938,25.785
8964,10,休闲娱乐场所,27.9303,27.7087
9964,150,休闲娱乐场所,27.9303,27.7087
10964,250,休闲娱乐场所,27.9303,27.7087
5903,210,风景区,37.8414,10.489
6903,330,风景区,37.8414,10.489
4846,30,企事业单位,31.3805,23.5911
5846,140,企事业单位,31.3805,23.5911
6846,300,企事业单位,31.3805,23.5911
1549,30,集贸市场,47.5546,26.8803
2549,150,集贸市场,47.5546,26.8803
3549,290,集贸市场,47.5546,26.8803
5549,0,工业园区,47.8823,26.5011
6549,100,工业园区,47.8823,26.5011
7549,210,工业园区,47.8823,26.5011
4953,0,风景区,46.9173,14.1963
5953,120,风景区,46.9173,14.1963
6953,240,风景区,46.9173,14.1963
1610,10,城区道路,32.9071,24.8465
2610,150,城区道路,32.9071,24.8465
3610,240,城区道路,32.9071,24.8465
1593,10,商业中心,34.6232,28.3592
2593,120,商业中心,34.6232,28.3592
3593,260,商业中心,34.6232,28.3592
9115,350,高层居民区,31.1844,25.5237
10115,110,高层居民区,31.1844,25.5237
11115,190,高层居民区,31.1844,25.5237
1031,0,城区道路,36.4776,16.1133
2031,140,城区道路,36.4776,16.1133
3031,250,城区道路,36.4776,16.1133
5503,60,低层居民区,29.3395,30.096
14075,110,党政军机关,32.8579,26.0285
5041,30,高校,37.3934,27.2706
6041,130,高校,37.3934,27.2706
7041,230,高校,37.3934,27.2706
6205,100,低层居民区,34.3372,18.9521
1638,0,村庄,20.598,99.2893
2638,90,村庄,20.598,99.2893
3638,270,村庄,20.598,99.2893
6829,240,城区道路,36.4142,31.4337
15094,240,城区道路,34.8543,37.9998
1256,330,风景区,37.7098,11.3297
2256,80,风景区,37.7098,11.3297
3256,170,风景区,37.7098,11.3297
9658,20,城区道路,30.7791,27.7832
10658,140,城区道路,30.7791,27.7832
9005,340,城区道路,45.9815,21.9399
10005,120,城区道路,45.9815,21.9399
11005,250,城区道路,45.9815,21.9399
854,30,高速公路,34.3836,21.1237
1854,170,高速公路,34.3836,21.1237
1397,40,低层居民区,33.2812,24.7386
2397,150,低层居民区,33.2812,24.7386
3397,260,低层居民区,33.2812,24.7386
1141,60,商业中心,30.2051,20.521
3141,300,商业中心,30.2051,20.521
1619,0,城区道路,47.6029,12.6395
2619,200,城区道路,47.6029,12.6395
3619,290,城区道路,47.6029,12.6395
1395,0,低层居民区,36.0789,26.0174
2395,70,低层居民区,36.0789,26.0174
3395,240,低层居民区,36.0789,26.0174
1658,340,低层居民区,32.4791,27.0993
3658,270,低层居民区,32.4791,27.0993
5486,350,风景区,25.2756,26.3254
6486,90,风景区,25.2756,26.3254
7486,240,风景区,25.2756,26.3254
1486,0,风景区,24.7253,26.9803
2486,160,风景区,24.7253,26.9803
3486,230,风景区,24.7253,26.9803
15593,270,高校,34.1175,28.3981
9310,40,高校,32.6486,13.7237
10310,120,高校,32.6486,13.7237
10369,120,写字楼,29.7363,25.1156
9449,30,工业园区,39.835,20.7412
10147,120,企事业单位,34.8733,29.3899
9852,100,高速公路,25.4944,24.6786
7396,300,高层居民区,34.2132,25.418
9067,0,高校,25.8353,25.656
11067,240,高校,25.8353,25.656
9068,0,高校,26.2681,25.4092
10068,180,高校,26.2681,25.4092
11068,280,高校,26.2681,25.4092
8848,300,高校,28.9133,21.713
9848,100,高校,28.9133,21.713
10848,210,高校,28.9133,21.713
3924,0,城区道路,44.3507,14.6533
4924,120,城区道路,44.3507,14.6533
5924,240,城区道路,44.3507,14.6533
3923,0,风景区,49.2016,19.7493
4923,150,风景区,49.2016,19.7493
5923,250,风景区,49.2016,19.7493
5304,0,高校,35.88,24.9977
6304,90,高校,35.88,24.9977
7304,270,高校,35.88,24.9977
